call,spy,iv,sofr1m,sofr1m50,sofr3m,sofr3m50,sofr3m200,sofr6m,sofr6m50,sofr6m200,sofr12m,sofr12m50,sofr12m200,baseprice,50price,100price,250price,500price,750price,1000price,sofr12mprice,sofr6mprice,sofr3mprice,sofr1mprice,hvol6price,hvol3price,hvol1price,ivolprice,error
0.81,424.66,12.83,5.3304,5.32122,5.4224,5.38972,5.0763,5.49332,5.45525,5.1539,5.48366,5.40622,5.0833,2.3,0.61,0.77,1.29,2.3,3.41,4.54,2.3,2.3,2.3,2.3,2.73,2.51,2.34,2.3,1.4899999999999998
0.7,424.5,12.608,5.33598,5.32159,5.4062,5.39053,5.0808,5.46263,5.45559,5.1577,5.42975,5.40686,5.0865,2.28,0.58,0.74,1.27,2.28,3.39,4.54,2.28,2.28,2.28,2.28,2.66,2.45,2.33,2.28,1.5799999999999998
1.23,429.54,12.824,5.34107,5.32204,5.40674,5.39128,5.0852,5.45446,5.45563,5.1614,5.39656,5.40674,5.0895,2.27,0.55,0.7,1.22,2.27,3.38,4.52,2.27,2.27,2.27,2.27,2.58,2.41,2.31,2.27,1.04
1.42,432.29,12.622,5.34492,5.32235,5.41626,5.39182,5.08745,5.46943,5.45599,5.16326,5.42115,5.40712,5.09112,2.26,0.52,0.65,1.19,2.26,3.37,4.51,2.26,2.26,2.26,2.26,2.53,2.37,2.3,2.26,0.8399999999999999
1.6,434.54,12.384,5.34877,5.32265,5.42577,5.39236,5.0897,5.48439,5.45635,5.1651,5.44574,5.4075,5.0927,2.25,0.47,0.63,1.17,2.25,3.36,4.48,2.25,2.25,2.25,2.25,2.5,2.35,2.29,2.29,0.6499999999999999
1.7,436.32,12.117,5.33238,5.32294,5.39377,5.39293,5.094,5.43464,5.45638,5.1687,5.35601,5.40695,5.0956,2.24,0.43,0.6,1.14,2.24,3.35,4.47,2.24,2.24,2.24,2.24,2.45,2.33,2.29,2.28,0.5400000000000003
1.04,433.66,11.598,5.3345,5.32327,5.39387,5.39348,5.0982,5.43994,5.45652,5.1723,5.3692,5.40686,5.0984,2.25,0.39,0.57,1.13,2.25,3.33,4.44,2.25,2.26,2.25,2.25,2.4,2.3,2.27,2.28,1.21
0.83,431.5,12.054,5.33533,5.32364,5.40283,5.39415,5.1024,5.46408,5.45711,5.1758,5.41705,5.40758,5.1013,2.29,0.35,0.54,1.11,2.29,3.32,4.42,2.29,2.29,2.29,2.29,2.35,2.29,2.26,2.28,1.46
1.22,436.04,11.627,5.33472,5.324,5.39504,5.39465,5.1065,5.44913,5.45743,5.1791,5.39341,5.40815,5.1039,2.29,0.33,0.51,1.1,2.29,3.29,4.39,2.29,2.29,2.29,2.29,2.33,2.29,2.24,2.27,1.07
1.16,436.02,11.574,5.33351,5.32433,5.39681,5.39517,5.1105,5.45477,5.45784,5.1824,5.40357,5.40897,5.1065,2.28,0.31,0.48,1.1,2.28,3.28,4.38,2.28,2.28,2.28,2.28,2.3,2.27,2.23,2.27,1.1199999999999999
0.65,430.21,12.663,5.33911,5.32479,5.41582,5.39614,5.1146,5.48826,5.45905,5.1859,5.45809,5.41134,5.1094,2.28,0.28,0.46,1.09,2.28,3.26,4.34,2.28,2.28,2.28,2.28,2.29,2.26,2.22,2.28,1.63
0.36,426.43,12.835,5.33866,5.32532,5.41193,5.39708,5.1187,5.48951,5.46033,5.1894,5.46961,5.41437,5.1122,2.27,0.26,0.45,1.09,2.27,3.23,4.31,2.27,2.27,2.27,2.27,2.28,2.24,2.25,2.27,1.9100000000000001
