Date,SPY US 11/17/23 P455 Equity,SPY US Equity,Implied Vol,TSFR1M Index - SOFR 1M,SMAVG (50) - 1M,SMAVG (100) -1M,SMAVG (200) - 1M,TSFR3M Index - SOFR 3M,SMAVG (50) -3M,SMAVG (100) - 3M,SMAVG (200) - 3M,TSFR6M Index - SOFR 6M,SMAVG (50) - 6M,SMAVG (100) -6M,SMAVG (200) - 6M,TSFR12M Index - SOFR 12M,SMAVG (50) -12M,SMAVG (100) -12M,SMAVG (200) -12M
10/17/23,19.79,436.32,12.117,5.33238,5.32294,5.24645,4.9825,5.39377,5.39293,5.33056,5.09395,5.43464,5.45638,5.39312,5.16872,5.35601,5.40695,5.31533,5.09559
10/18/23,24.3,433.66,11.598,5.3345,5.32327,5.24897,4.98756,5.39387,5.39348,5.33321,5.09817,5.43994,5.45652,5.39658,5.17225,5.3692,5.40686,5.32105,5.09843
10/19/23,28.3,431.5,12.054,5.33533,5.32364,5.25139,4.99262,5.40283,5.39415,5.3356,5.10238,5.46408,5.45711,5.39976,5.17578,5.41705,5.40758,5.32645,5.10134
10/20/23,33.97,436.04,11.627,5.33472,5.324,5.25376,4.99768,5.39504,5.39465,5.33804,5.10645,5.44913,5.45743,5.40285,5.17907,5.39341,5.40815,5.33151,5.10385
10/23/23,34.44,436.02,11.574,5.33351,5.32433,5.25609,5.00268,5.39681,5.39517,5.34035,5.11047,5.45477,5.45784,5.40577,5.18241,5.40357,5.40897,5.33641,5.10649
10/24/23,31.52,430.21,12.663,5.33911,5.32479,5.25837,5.00758,5.41582,5.39614,5.34259,5.11462,5.48826,5.45905,5.40865,5.18594,5.45809,5.41134,5.34128,5.10942
10/25/23,36.94,426.43,12.835,5.33866,5.32532,5.2604,5.01248,5.41193,5.39708,5.34446,5.11866,5.48951,5.46033,5.41116,5.18935,5.46961,5.41437,5.34595,5.11221
10/26/23,39.19,421.19,13.725,5.33165,5.3257,5.26218,5.01731,5.39847,5.39771,5.34581,5.12263,5.46948,5.4613,5.41287,5.19269,5.43835,5.41697,5.34931,5.11493
10/27/23,45.58,420.46,13.6,5.32444,5.32594,5.26383,5.02195,5.37822,5.39789,5.34682,5.1264,5.43909,5.46165,5.41407,5.19581,5.38011,5.41834,5.3515,5.11736
10/30/23,38.63,423.63,13.092,5.32491,5.32623,5.26535,5.02651,5.3796,5.39819,5.34769,5.13002,5.44552,5.46226,5.41532,5.19872,5.38411,5.4199,5.35395,5.11943
10/31/23,37.14,417.55,14.286,5.32605,5.3265,5.26687,5.03098,5.38749,5.3985,5.3488,5.13378,5.45583,5.46274,5.41703,5.20187,5.39586,5.42073,5.35728,5.12183
11/1/23,32.47,412.55,15.57,5.32686,5.32676,5.26873,5.03547,5.38998,5.39877,5.3504,5.1376,5.45691,5.46298,5.41914,5.20514,5.40349,5.42116,5.36105,5.12459
11/2/23,24.42,410.68,16.299,5.32412,5.327,5.27047,5.03991,5.38321,5.39885,5.3517,5.14135,5.44063,5.46296,5.42067,5.20828,5.37295,5.42091,5.36385,5.12711
11/3/23,20.49,415.59,15.132,5.32008,5.32713,5.27229,5.04412,5.37712,5.3988,5.35308,5.14495,5.43449,5.46282,5.42225,5.21134,5.35922,5.42057,5.3665,5.12957
11/6/23,19.6,418.2,14.171,5.31959,5.32723,5.27417,5.04831,5.38275,5.39879,5.35453,5.1487,5.44273,5.46279,5.4239,5.21459,5.36741,5.42025,5.36913,5.13229
11/7/23,17.53,422.66,13.581,5.32271,5.32733,5.27594,5.05251,5.3919,5.39908,5.35594,5.15249,5.45367,5.46328,5.42551,5.21787,5.39369,5.42101,5.37161,5.13507
11/8/23,18.07,430.76,12.029,5.32971,5.32762,5.27778,5.05672,5.3927,5.39928,5.35745,5.15626,5.44491,5.46324,5.42729,5.22109,5.36341,5.42051,5.37422,5.13766
11/9/23,21.45,434.69,11.53,5.32176,5.32776,5.27952,5.06077,5.38017,5.39906,5.35876,5.1599,5.42589,5.4626,5.42869,5.22424,5.3259,5.4188,5.37599,5.14027
11/10/23,14.49,435.69,10.437,5.32344,5.32782,5.28128,5.06478,5.36806,5.39866,5.3599,5.16344,5.39819,5.46167,5.42972,5.22721,5.26278,5.41655,5.37703,5.14249
11/13/23,14.66,436.93,10.963,5.32197,5.32768,5.28349,5.06874,5.36567,5.3979,5.36137,5.16697,5.39322,5.46019,5.43098,5.23012,5.26162,5.41355,5.37812,5.1446
11/14/23,6.15,437.25,10.718,5.32133,5.32744,5.28579,5.07268,5.36908,5.39693,5.3629,5.17049,5.39707,5.45827,5.43207,5.23301,5.2749,5.40972,5.37868,5.14672
11/15/23,6,433.84,12.626,5.32119,5.32724,5.28824,5.07659,5.37103,5.3959,5.36454,5.174,5.39896,5.45623,5.43317,5.23588,5.28136,5.40575,5.37919,5.14883
11/16/23,4.84,440.61,10.898,5.3223,5.32709,5.29069,5.08044,5.37764,5.39526,5.36612,5.17754,5.41447,5.45502,5.43423,5.23886,5.31645,5.40371,5.37968,5.15126
11/17/23,4.47,440.19,11.844,5.32291,5.327,5.2931,5.08425,5.37972,5.39483,5.36762,5.18106,5.41924,5.4543,5.4353,5.24184,5.33418,5.40298,5.38053,5.15375
,,448.73,11.507,5.32953,5.32701,5.2955,5.08805,5.39021,5.39459,5.36906,5.1846,5.43478,5.45393,5.4363,5.24488,5.34833,5.40257,5.38127,5.15627
,,449.68,10.215,5.32959,5.32705,5.29796,5.09184,5.36937,5.39416,5.37037,5.18802,5.38077,5.45291,5.43682,5.24761,5.2294,5.40065,5.38073,5.15807
,,450.23,10.19,5.33107,5.32714,5.3004,5.09564,5.3671,5.39354,5.37169,5.19143,5.37501,5.45135,5.43737,5.25034,5.23693,5.3976,5.38052,5.16002
,,450.79,138.995,5.33253,5.3272,5.30267,5.09946,5.36693,5.39266,5.37297,5.19478,5.36347,5.4491,5.43776,5.25298,5.20073,5.39297,5.37989,5.16182
